specobjid,z,class,subclass,fwhm_hbeta,h_beta_flux,h_beta_eqw,h_gamma_flux,oiii_5007_flux,oiii_hbeta_ratio,oiii_hgamma_ratio,hbeta_hgamma_ratio,e_bv_sfd
585584813054912512,0.08162035,GALAXY,,1177.4,11.72359,-0.1742419,7.504168,14.25926,1.216287,1.900179,1.562278,0.02570347
592370999224199168,0.2688896,QSO,BROADLINE,1177.4,1217.897,-9.82467,622.2569,1467.694,1.205106,2.358663,1.957225,0.02380977
607021162081314816,0.1346648,QSO,BROADLINE,1177.4,2292.539,-13.14289,1127.194,947.3425,0.4132285,0.8404432,2.033846,0.05099057
931125583939659776,0.09166554,QSO,BROADLINE,1177.4,1084.483,-5.900719,929.4779,3762.322,3.469231,4.04778,1.166766,0.03551636
1802598238709114880,0.1337497,QSO,STARBURST BROADLINE,1177.4,3727.647,-19.79977,1729.409,2310.751,0.6198953,1.33615,2.155445,0.02868453
2429723405663102976,0.136087,QSO,STARBURST BROADLINE,1177.4,4356.603,-24.24099,1787.17,724.6421,0.1663319,0.4054691,2.437711,0.04312729
2907107988646946816,0.1331618,QSO,BROADLINE,1177.4,4795.136,-20.45918,2261.436,9180.033,1.914447,4.059383,2.120395,0.04058812
2946519439278893056,0.2217153,QSO,STARBURST BROADLINE,1177.4,1593.179,-24.37148,746.7751,543.2698,0.3409975,0.7274879,2.133412,0.02738428
2990426236808882176,0.05026987,QSO,STARBURST BROADLINE,1124.664,1813.709,-28.28315,811.8341,483.6237,0.2666491,0.5957174,2.234088,0.02607697
666636132917733376,0.126024,QSO,BROADLINE,1177.4,926.9399,-9.680372,594.1559,2368.631,2.555323,3.986547,1.560096,0.04435388
683593081873786880,0.2755408,QSO,STARBURST BROADLINE,1177.4,1777.994,-26.61959,783.0153,875.6961,0.4925191,1.118364,2.270702,0.01909766
344633151097694208,0.05574698,GALAXY,,1177.4,47.10873,-0.4356185,28.25508,38.95108,0.8268337,1.378551,1.667266,0.03816396
