specobjid,z,oiii_5007_flux,oiii_sigma,oi_6300_flux,h_beta_flux,h_alpha_flux,h_alpha_eqw,sii_6717_flux,sii_6731_flux,nii_6584_flux,oiii_hbeta_ratio,nii_halpha_ratio,w1,w2,w3,w1_w2,w2_w3
300657358424532992,0.08368891,40.89649,100.4832,34.14533,134.8891,649.7175,-34.24926,122.6081,96.46764,329.9208,0.303186,0.5077912,13.167,12.894,8.964,0.2729998,3.93
300658732814067712,0.103538,366.8779,91.89639,20.83839,209.273,733.8729,-106.4031,105.8378,78.44872,126.7331,1.753107,0.1726908,15.182,14.96,10.652,0.2220001,4.308
300659557447788544,0.106981,23.34986,69.78541,9.128121,70.57777,283.6448,-30.15765,51.64438,36.12083,106.8202,0.3308388,0.3765985,14.642,14.261,10.575,0.3810005,3.686
300660382081509376,0.04565335,24.06569,67.01678,11.4854,129.3916,559.7024,-13.66982,55.1946,46.56064,199.7853,0.1859912,0.3569491,12.211,12.086,8.293,0.125,3.793
300662581104764928,0.1110355,62.87858,80.32333,25.39231,135.8446,661.7244,-63.30981,124.4592,90.49993,257.8566,0.4628715,0.3896737,14.219,13.885,9.696,0.3339996,4.189
300665055005927424,0.03704123,61.89884,42.11617,8.183682,38.72056,142.7995,-29.268,28.70416,21.9203,20.31067,1.598604,0.142232,15.321,15.03,12.203,0.2910004,2.827
300665329883834368,0.08011292,33.17283,53.97607,7.932168,48.60486,166.6004,-7.992346,44.30239,34.51288,63.6263,0.6825004,0.3819096,14.2,14.105,11.424,0.09500027,2.681
300665604761741312,0.06465202,28.85373,79.16861,11.29842,66.28398,302.0594,-24.24237,61.72988,46.56725,115.9089,0.4353048,0.383729,14.307,14.137,10.465,0.1700001,3.672
300667254029182976,0.0792563,26.64145,97.6182,12.13378,34.89052,150.9513,-6.358188,54.55386,41.51113,89.92256,0.7635728,0.5957057,13.65,13.495,10.97,0.1549997,2.525
300667528907089920,0.06914463,12.52935,84.2002,6.627734,37.90817,189.8785,-15.96493,32.17059,23.00072,85.56366,0.3305185,0.4506233,14.223,13.901,10.324,0.3219995,3.577
300669727930345472,0.1333251,11.61989,75.52525,8.257575,44.05736,242.1171,-24.24088,42.19727,26.87576,125.6245,0.2637445,0.5188585,14.481,14.063,10.378,0.4180002,3.684999
300670277686159360,0.08020487,13.65809,67.65108,5.081095,45.88344,167.4065,-24.20345,35.57194,26.99824,56.78626,0.2976694,0.3392117,15.007,14.868,10.877,0.1389999,3.991
300672751587321856,0.06287614,15.4572,45.09264,5.500399,39.58074,151.5709,-20.09934,32.42798,22.97217,51.24837,0.3905233,0.3381148,14.893,14.831,11.306,0.06199932,3.525001
