RAJ2000,DEJ2000,plate,fiberid,mjd,iMAG,logLbol,e_logLbol,logLBHb,e_logLBHb,W_BHb_,e_W_BHb_,EWBHb,e_EWBHb,SN_Hb_,logBH,e_logBH,logEdd,specobjid,z,h_beta_flux,fwhm_hbeta
203.63478,17.19639,2606,581,54154,-24.15,45.693,0.004,43.01,0.01,9298.7,156.4,88.3,3.3,36.86,9.21,0.01,-1.62,2934254930988394496,0.2645762,292.094,1177.4
203.6385,-1.64038,912,339,52427,-23.03,45.269,0.01,42.32,0.05,19717.1,2731.6,51.9,7.4,16.21,9.65,0.12,-2.48,1026913939369256960,0.2922319,31.13124,441.8988
203.63991,60.14584,785,46,52339,-22.93,45.162,0.005,42.29,0.04,4034.5,339.5,59.6,4.8,16.46,8.22,0.07,-1.16,883844110497114112,0.2926344,200.5956,1177.4
203.71016,1.03857,298,577,51955,-22.73,45.147,0.004,41.61,0.07,2132.9,884.1,13.6,2.1,17.7,7.66,0.36,-0.61,335676809590892544,0.2455795,159.3883,1177.4
203.76099,9.72354,1802,192,53885,-22.28,44.953,0.002,41.85,0.13,2331.7,941.9,35.0,10.0,17.25,7.64,0.35,-0.79,2028924473868052480,0.1909368,529.3924,869.0842
203.77716,34.20953,1993,142,53762,-23.14,45.474,0.007,42.61,0.03,6515.6,121.2,61.4,6.0,33.22,8.79,0.02,-1.42,2243957610116048896,0.2207066,206.4684,1177.4
204.05125,9.79634,1802,491,53885,-22.57,45.152,0.004,41.99,0.03,6555.9,386.7,32.4,2.4,18.8,8.64,0.05,-1.58,2029006662362228736,0.2478844,49.07101,673.1172
204.20462,-0.34926,298,103,51955,-23.33,45.272,0.005,42.57,0.02,7272.0,420.5,88.0,5.0,20.9,8.79,0.05,-1.61,335546517463001088,0.2960864,159.7934,1177.4
204.31633,3.16016,528,522,52022,-22.31,45.039,0.003,41.63,0.07,9641.7,2412.7,18.6,3.1,20.55,8.91,0.22,-1.98,594618671003887616,0.1922287,82.83208,282.1371
204.48091,41.1501,1464,550,53091,-22.5,45.136,0.004,42.18,0.04,4705.6,203.7,49.2,4.9,19.87,8.34,0.04,-1.3,1648468698324822016,0.230995,154.1145,1177.4
204.61119,17.0767,2607,477,54184,-22.99,45.327,0.002,42.37,0.03,2200.0,249.3,48.8,2.7,33.25,7.78,0.1,-0.55,2935352244096231424,0.2086255,695.1603,1177.4
204.86597,66.48358,497,437,51989,-22.63,45.012,0.003,42.13,0.03,5069.9,154.5,59.6,4.8,29.08,8.34,0.03,-1.43,559692408716027904,0.1361378,503.2493,747.9382
204.87083,52.4565,1042,132,52725,-23.3,45.272,0.003,42.04,0.15,3787.5,1183.1,25.7,14.0,18.84,8.22,0.27,-1.05,1173224032531671040,0.2690201,621.0911,1177.4
204.95996,15.99116,2607,178,54184,-22.99,45.321,0.012,42.66,0.02,12925.9,349.4,99.2,5.1,25.39,9.31,0.02,-2.09,2935270055602055168,0.2763289,155.4419,680.2473
204.96448,50.18362,1669,240,53433,-22.5,45.171,0.003,41.95,0.05,2551.5,268.8,27.5,3.2,18.72,7.83,0.09,-0.76,1879192972814215168,0.2349069,183.8473,688.0023
